# What the hosts said they were, written by `pnpm domains:classify`.
# Do not edit by hand: the next run overwrites it. To correct a row, put
# the right answer in gswan-department-directory.tsv instead, which is read
# first and wins.
#
# host<TAB>category<TAB>name<TAB>deciding tier<TAB>what the page said
gaic.gujarat.gov.in	DEPARTMENT	Gujarat Agro Industries Corporation	tier 1 fetch	Gujarat Agro Industries Corporation
gam.gujarat.gov.in	DEAD		tier 0.5 dns	
garvi.gujarat.gov.in	DEPARTMENT	ગુજરાત સરકાર	tier 2 qwen.qwen3-32b	Home | Garvi
garvigurjari.gujarat.gov.in	DEPARTMENT	Handloom E-commerce	tier 2 qwen.qwen3-32b	Home | Handloom E-commerce
gasc.gujarat.gov.in	EDUCATION	Dear Parents/Students,	tier 1 fetch	Official Website of Gujarat Arts and Science College, Government of Gujarat, India
gbcdconline.gujarat.gov.in	DEPARTMENT	Page - સામાજિક ન્યાય અને અધિકારીતા વિભાગ	tier 1 fetch	Home Page - સામાજિક ન્યાય અને અધિકારીતા વિભાગ
gbrc.gujarat.gov.in	DEPARTMENT	Gujarat Biotechnology Research Centre	tier 2 qwen.qwen3-32b	Home - Gujarat Biotechnology Research Centre
gcvt.gujarat.gov.in	DEPARTMENT	Gujarat Council of Vocation Training	tier 2 qwen.qwen3-32b	Show the image on page load using jQuery
gecbhuj.gujarat.gov.in	DEAD		tier 0.5 dns	
gemhe.gujarat.gov.in	DEPARTMENT	Geographic Education Mapping of Higher Education	tier 2 qwen.qwen3-32b	Geographic Education Mapping of Higher Education
gfrf.gujarat.gov.in	DEPARTMENT	Gujarat Forestry Research Foundation	tier 2 qwen.qwen3-32b	Gujarat Forestry Research Foundation
gic.gujarat.gov.in	DEPARTMENT		tier 2 qwen.qwen3-32b	
gidm.gujarat.gov.in	DEPARTMENT	GIDM	tier 1 fetch	Home | Gujarat Institute of Disaster Management, Government of Gujarat
girlion.gujarat.gov.in	DEPARTMENT	Only Official Booking Website for Gir Online Permit Booking System :: GSLCS	tier 1 fetch	Only Official Booking Website for Gir Online Permit Booking System :: GSLCS
giss.gujarat.gov.in	DEPARTMENT	Directorate of Econmics & Statistics - Gujarat	tier 1 fetch	Directorate of Econmics & Statistics - Gujarat
gist-sgsu.gujarat.gov.in	DEAD		tier 0.5 dns	
gldb.gujarat.gov.in	DEAD		tier 0.5 dns	
gmers.gujarat.gov.in	DEPARTMENT	GMERS	tier 2 qwen.qwen3-32b	GMERS
gmpb.gujarat.gov.in	DEPARTMENT	Gujarat Medicinal Plants Board	tier 2 qwen.qwen3-32b	Introduction | GMPB
gmrds.gujarat.gov.in	DEPARTMENT	At Your Service	tier 1 fetch	GMRDS (Gujarat State)
gogaua.gujarat.gov.in	INFRASTRUCTURE		tier 2 qwen.qwen3-32b	Aadhaar Authentication Server
gogsrdh.gujarat.gov.in	DEAD		tier 0.5 dns	
gpcbvlts.gujarat.gov.in	DEPARTMENT	Gujarat Pollution Control Board	tier 2 qwen.qwen3-32b	GPCB - Hazardous Waste Real Time Vehicle Location Tracking System
gpcbxgn.gujarat.gov.in	DEPARTMENT	GUJARAT POLLUTION CONTROL BOARD	tier 1 fetch	GUJARAT POLLUTION CONTROL BOARD
gpcl.gujarat.gov.in	DEPARTMENT	Gujarat Power Corporation Limited	tier 1 fetch	Gujarat Power Corporation Limited
gpsc-iass.gujarat.gov.in	SERVICE_PORTAL		tier 2 qwen.qwen3-32b	:: iNTEGRATED APPLICATION SCRUTINY SYSTEM ::
gpsc-ojas.gujarat.gov.in	SERVICE_PORTAL		tier 2 qwen.qwen3-32b	:: Online Job Application System ::
gpsc.gujarat.gov.in	DEPARTMENT	Gujarat Public Service Commission	tier 1 fetch	Home
gpssb.gujarat.gov.in	DEPARTMENT	Gujarat Panchayat Service Selection Board, Government Of Gujarat.	tier 1 fetch	Home | Gujarat Panchayat Service Selection Board, Government Of Gujarat.
gram.gujarat.gov.in	DEAD		tier 0.5 dns	
gsawb.gujarat.gov.in	DEPARTMENT	ગુજરાત પ્રાણી કલ્યાણ બોર્ડ, ગુજરાત રાજ્ય | GSAWB | Gujarat State Animal Welfare Board, Gujarat State	tier 1 fetch	ગુજરાત પ્રાણી કલ્યાણ બોર્ડ, ગુજરાત રાજ્ય | GSAWB | Gujarat State Animal Welfare Board, Gujarat State
gsbb.gujarat.gov.in	DEPARTMENT	Gujarat Biodiversity Board, Government of Gujarat	tier 1 fetch	Gujarat Biodiversity Board, Government of Gujarat
gscdconline.gujarat.gov.in	DEPARTMENT	Login - સામાજિક ન્યાય અને અધિકારીતા વિભાગ	tier 1 fetch	Login - સામાજિક ન્યાય અને અધિકારીતા વિભાગ
gscpcr.gujarat.gov.in	DEAD		tier 0.5 dns	
gscps.gujarat.gov.in	DEPARTMENT	Gujarat State Child Protection Society	tier 1 fetch	Gujarat State Child Protection Society
gscuc.gujarat.gov.in	DEPARTMENT	Gujarat State Commission for Unreserved Classes	tier 1 fetch	Gujarat State Commission for Unreserved Classes
gsem.gujarat.gov.in	DEPARTMENT	Gujarat State Electronics Mission	tier 1 fetch	Gujarat State Electronics Mission
gsfc.gujarat.gov.in	DEPARTMENT	Gujarat State Financial Corporation	tier 1 fetch	Official Website of Gujarat State Financial Corporation, Government Of Gujarat, India
gsgkkb.gujarat.gov.in	DEPARTMENT		tier 2 qwen.qwen3-32b	મુખ્ય પૃષ્ઠ | ગુજરાત અસંગઠિત ગ્રામ કામદાર કલ્‍યાણ બોર્ડ
gshp.gujarat.gov.in	DEAD		tier 0.5 dns	
gsinc.gujarat.gov.in	DEAD		tier 0.5 dns	
gsjjavy.gujarat.gov.in	DEPARTMENT	Finance Department	tier 1 fetch	Gujarat Aksmat Vima Yojana
gsldc.gujarat.gov.in	DEAD		tier 0.5 dns	
gslsa.gujarat.gov.in	DEAD		tier 0.5 dns	
gspca.gujarat.gov.in	POLICE	Gujarat State Police Complaints Authority (GSPCA)	tier 1 fetch	Index | Gujarat State Police Complaints Authority (GSPCA)
gsphc.gujarat.gov.in	POLICE	Gujarat State Police Housing Corporation Ltd.	tier 1 fetch	Gujarat State Police Housing Corporation Ltd. | Government of Gujarat
gssp.gujarat.gov.in	SERVICE_PORTAL		tier 2 qwen.qwen3-32b	Digital Gujarat
gsssb.gujarat.gov.in	DEPARTMENT		tier 2 qwen.qwen3-32b	ગુજરાત ગૌણ સેવા પસંદગી મંડળ
gstfc.gujarat.gov.in	DEAD		tier 0.5 dns	
gswma.gujarat.gov.in	DEAD		tier 0.5 dns	
gtkdconline.gujarat.gov.in	DEPARTMENT	Page - Gujarat Thakor and Koli Vikas Nigam	tier 1 fetch	Home Page - Gujarat Thakor and Koli Vikas Nigam
guda.gujarat.gov.in	DEPARTMENT	Gandhinagar Urban Development Authority	tier 1 fetch	Welcome to Gandhinagar Urban Development Authority
gudm.gujarat.gov.in	DEPARTMENT	Gujarat Urban Development Mission, Gujarat State.	tier 1 fetch	Home | Gujarat Urban Development Mission, Gujarat State.
gueedc.gujarat.gov.in	DEPARTMENT	GUJARAT UNRESERVED EDUCATION & ECONOMIC DEVELOPMENT CORPORATION (GUEEDC)	tier 1 fetch	GUEEDC
gueedconline.gujarat.gov.in	DEPARTMENT	Login - GUJARAT UNRESERVED EDUCATION & ECONOMIC DEVELOPMENT CORPORATION	tier 1 fetch	Login - GUJARAT UNRESERVED EDUCATION & ECONOMIC DEVELOPMENT CORPORATION
gujaratbhavan.gujarat.gov.in	DEAD		tier 0.5 dns	
gujaratbhawan.gujarat.gov.in	DEPARTMENT	Gujarat Bhawan and Office of the Resident Commissioner, Government of Gujarat	tier 1 fetch	Gujarat Bhawan and Office of the Resident Commissioner, Government of Gujarat
gujaratpoliceacademy.gujarat.gov.in	POLICE		tier 2 qwen.qwen3-32b	Registration Closed
gujcovid19.gujarat.gov.in	DEAD		tier 0.5 dns	
gujhd.gujarat.gov.in	DEPARTMENT	Director, Gujarat Social Infrastructure Development Society (GSIDS) Government of Gujarat	tier 1 fetch	Gujarat Social Infrastructure Development Society
gujposhanabhiyan.gujarat.gov.in	DEAD		tier 0.5 dns	
gujrerar1.gujarat.gov.in	DEAD		tier 0.5 dns	
gunotsav.gujarat.gov.in	DEPARTMENT	Gunotsav	tier 2 qwen.qwen3-32b	GUNOTSAV-GUJARAT
gwssb.gujarat.gov.in	DEAD		tier 0.5 dns	
gyankunj.gujarat.gov.in	DEAD		tier 0.5 dns	
hc-ojas.gujarat.gov.in	JUDICIARY	Gujarat High Court (OJAS)	tier 1 fetch	Gujarat High Court (OJAS)
homeapps.gujarat.gov.in	DEAD		tier 0.5 dns	
homeguards.gujarat.gov.in	POLICE		tier 2 qwen.qwen3-32b	કમાન્ડન્ટ જનરલ હોમગાર્ડઝ
hospitalappointment.gujarat.gov.in	DEAD		tier 0.5 dns	
humanrights.gujarat.gov.in	POLICE	અધિક પોલીસ મહાનિર્દેશક, માનવ અધિકાર	tier 1 fetch	અધિક પોલીસ મહાનિર્દેશક, માનવ અધિકાર
iass.gujarat.gov.in	SERVICE_PORTAL		tier 2 qwen.qwen3-32b	:: iNTEGRATED APPLICATION SCRUTINY SYSTEM ::
idmla.gujarat.gov.in	SERVICE_PORTAL	IDMLA - Industry Portal for Drugs Manufacturing Licence (Allopathic)	tier 1 fetch	IDMLA - Industry Portal for Drugs Manufacturing Licence (Allopathic)
ifp.gujarat.gov.in	SERVICE_PORTAL	Investor Facilitation Portal	tier 1 fetch	Investor Facilitation Portal
ikhedutservice.gujarat.gov.in	SERVICE_PORTAL	i-ખેડૂત - Web Portal for Agriculture, Farmers Welfare & Co-operation Department, Government of Gujarat @	tier 1 fetch	i-ખેડૂત - Web Portal for Agriculture, Farmers Welfare & Co-operation Department, Government of Gujarat @
ikisan.gujarat.gov.in	DEAD		tier 0.5 dns	
iora.gujarat.gov.in	SERVICE_PORTAL		tier 2 qwen.qwen3-32b	: iORA - Integrated Online Revenue Applications :
ipds.gujarat.gov.in	SERVICE_PORTAL	web portal	tier 1 fetch	iPDS - FCSCAD Gujarat - CLD3 Server
ircms.gujarat.gov.in	JUDICIARY		tier 2 qwen.qwen3-32b	iRCMS-eFiling :
itiadmission.gujarat.gov.in	DEPARTMENT	:: ITI Admission, Directorate of Employment and Training, Government of Gujarat ::	tier 1 fetch	:: ITI Admission, Directorate of Employment and Training, Government of Gujarat ::
itiagasi.gujarat.gov.in	DEAD		tier 0.5 dns	
itirajkot.gujarat.gov.in	DEAD		tier 0.5 dns	
itisaraspur.gujarat.gov.in	DEAD		tier 0.5 dns	
kayakalp.gujarat.gov.in	DEAD		tier 0.5 dns	
kcc.gujarat.gov.in	SERVICE_PORTAL		tier 2 qwen.qwen3-32b	:: KISAN CREDIT CARD :: 6
kcg.gujarat.gov.in	EDUCATION	Knowledge Consortium Of Gujarat	tier 2 qwen.qwen3-32b	The Official Website of Knowledge Consortium Of Gujarat, Gujarat Government, India. |
khelmahakumbh.gujarat.gov.in	DEPARTMENT	Khel Mahakumbh | Sports Authority of Gujarat	tier 1 fetch	Khel Mahakumbh | Sports Authority of Gujarat | Government of Gujarat
klis.gujarat.gov.in	DEAD		tier 0.5 dns	
kyps.gujarat.gov.in	DEAD		tier 0.5 dns	
lisgujarat.gujarat.gov.in	DEAD		tier 0.5 dns	
lokayukta.gujarat.gov.in	JUDICIARY	Gujarat Lokayukta	tier 2 qwen.qwen3-32b	Gujarat Lokayukta
m.digitalgujarat.gov.in	DEAD		tier 0.5 dns	
ma.gujarat.gov.in	DEPARTMENT	Mukhyamantri Amrutum | An Initiative of Health and Family Welfare Department Gujarat	tier 1 fetch	Mukhyamantri Amrutum | An Initiative of Health and Family Welfare Department Gujarat
mdm.gujarat.gov.in	DEPARTMENT	Pradhan Mantri Poshan Shakti Nirman	tier 2 qwen.qwen3-32b	Pradhan Mantri Poshan Shakti Nirman
mgli.gujarat.gov.in	DEPARTMENT	Mahatma Gandhi Labour Institute	tier 2 qwen.qwen3-32b	Mahatma Gandhi Labour Institute
misbocwwb.gujarat.gov.in	DEPARTMENT		tier 2 qwen.qwen3-32b	ગુજરાત મકાન અને અન્ય બાંધકામ શ્રમયોગી કલ્યાણ બોર્ડ
mms-ss.gujarat.gov.in	DEAD		tier 0.5 dns	
mmuy.gujarat.gov.in	DEAD		tier 0.5 dns	
msmec.gujarat.gov.in	DEPARTMENT	MSME Gujarat | Ministry of Micro, Small and Medium Enterprises	tier 1 fetch	MSME Gujarat | Ministry of Micro, Small and Medium Enterprises
narmadamahotsav.gujarat.gov.in	DEAD		tier 0.5 dns	
nregagis.gujarat.gov.in	DEAD		tier 0.5 dns	
nrhm.gujarat.gov.in	DEAD		tier 0.5 dns	
ns.gujarat.gov.in	DEAD		tier 0.5 dns	
nsit.gujarat.gov.in	DEAD		tier 0.5 dns	
panchmahals.gujarat.gov.in	DEAD		tier 0.5 dns	
patantourism.gujarat.gov.in	DEAD		tier 0.5 dns	
polytechnicgnr.gujarat.gov.in	DEAD		tier 0.5 dns	
poms.gujarat.gov.in	DEAD		tier 0.5 dns	
rahat.gujarat.gov.in	SERVICE_PORTAL	: Rahat Portal :	tier 1 fetch	: Rahat Portal :
rajbhavan.gujarat.gov.in	DEAD		tier 0.5 dns	
riotcell2002.gujarat.gov.in	DEAD		tier 0.5 dns	
rlc.gujarat.gov.in	DEAD		tier 0.5 dns	
rnbrap.gujarat.gov.in	DEAD		tier 0.5 dns	
rti-ar.gujarat.gov.in	DEPARTMENT		tier 2 qwen.qwen3-32b	
saarc-sdmc.gujarat.gov.in	DEAD		tier 0.5 dns	
sainikwelfare.gujarat.gov.in	DEPARTMENT	સૈનિક કલ્યાણ અને પુનર્વસવાટ	tier 2 qwen.qwen3-32b	સૈનિક કલ્યાણ અને પુનર્વસવાટ
samras.gujarat.gov.in	DEPARTMENT	SAMRAS HOSTEL	tier 2 qwen.qwen3-32b	SAMRAS HOSTEL- Govt. Of Gujarat
sanman.gujarat.gov.in	DEPARTMENT	Page - LabourCommissioner	tier 1 fetch	Home Page - LabourCommissioner
sapti.gujarat.gov.in	EDUCATION	Sapti Stone Artisan Park Training Institute	tier 2 qwen.qwen3-32b	Sapti Stone Artisan Park Training Institute
scholarships.gujarat.gov.in	EDUCATION	Hon. Chief Minister Scholarship Scheme	tier 2 qwen.qwen3-32b	Home
scity.gujarat.gov.in	DEAD		tier 0.5 dns	
scndlr.gujarat.gov.in	INFRASTRUCTURE		tier 2 qwen.qwen3-32b	IGiS Widget Gujarat_Cadastral_Map
sdrn.gujarat.gov.in	DEAD		tier 0.5 dns	
sec-poll.gujarat.gov.in	JUDICIARY		tier 2 qwen.qwen3-32b	Select Election
secsearch.gujarat.gov.in	INFRASTRUCTURE	IIS Windows Server	tier 1 fetch	IIS Windows Server
shc.gujarat.gov.in	DEAD		tier 0.5 dns	
shop.gujarat.gov.in	DEAD		tier 0.5 dns	
srtgeda.gujarat.gov.in	SERVICE_PORTAL	GEDA | Unified Single Window Rooftop PV Portal	tier 1 fetch	GEDA | Unified Single Window Rooftop PV Portal
ssavts.gujarat.gov.in	DEAD		tier 0.5 dns	
ssg-ss.gujarat.gov.in	EDUCATION	Saksham Shala	tier 2 qwen.qwen3-32b	
startup.gujarat.gov.in	DEPARTMENT	Startup Gujarat	tier 2 qwen.qwen3-32b	Startup Gujarat
stbi.gujarat.gov.in	DEPARTMENT	Savli Incubator	tier 2 qwen.qwen3-32b	Home | Savli Incubator
stc.gujarat.gov.in	DEAD		tier 0.5 dns	
study.gujarat.gov.in	DEAD		tier 0.5 dns	
suvas-rto.gujarat.gov.in	DEAD		tier 0.5 dns	
swagat.gujarat.gov.in	SERVICE_PORTAL	Grievance Portal	tier 1 fetch	Grievance Portal
tams-lne.gujarat.gov.in	DEAD		tier 0.5 dns	
tapal.gujarat.gov.in	DEAD		tier 0.5 dns	
teacherportal.gujarat.gov.in	DEAD		tier 0.5 dns	
techo.gujarat.gov.in	INFRASTRUCTURE		tier 2 qwen.qwen3-32b	
townplanning.gujarat.gov.in	DEPARTMENT	Town Planning and Valuation Department	tier 2 qwen.qwen3-32b	Home Page - Town Planning
tsc.gujarat.gov.in	DEAD		tier 0.5 dns	
udhyog.gujarat.gov.in	SERVICE_PORTAL	Industries Commissionerate Portal (GOVERNMENT OF GUJARAT)	tier 1 fetch	Industries Commissionerate Portal (GOVERNMENT OF GUJARAT)
upload.gujarat.gov.in	DEAD		tier 0.5 dns	
vanbandhukalyanyojana.gujarat.gov.in	DEAD		tier 0.5 dns	
vande.gujarat.gov.in	EDUCATION	Vande Gujarat	tier 2 qwen.qwen3-32b	Vande Gujarat
vanspativan.gujarat.gov.in	DEAD		tier 0.5 dns	
vc.gujarat.gov.in	INFRASTRUCTURE		tier 2 qwen.qwen3-32b	Login
villageprofile.gujarat.gov.in	INFRASTRUCTURE		tier 2 qwen.qwen3-32b	Home
vivekananda.gujarat.gov.in	DEAD		tier 0.5 dns	
vtmscgm.gujarat.gov.in	TRANSPORT_RTO		tier 2 qwen.qwen3-32b	CGM - VTMS
wasmo.gujarat.gov.in	DEAD		tier 0.5 dns	
wasmows.gujarat.gov.in	DEPARTMENT	Water and Sanitation Management Organisation	tier 2 qwen.qwen3-32b	WASMO Home | Water and Sanitation Management Organisation
wrdguj-edocs.gujarat.gov.in	INFRASTRUCTURE		tier 2 qwen.qwen3-32b	DMS
ws.gujarat.gov.in	DEPARTMENT	GWSSB	tier 1 fetch	GWSSB
xln.gujarat.gov.in	DEPARTMENT	Food & Drugs Control Administration, Gujarat	tier 2 qwen.qwen3-32b	XLN Gujarat
